users	planned_app_requests	app_requests	app_errors	auth_errors	completed_flows	failed_flows	app_p95_ms	auth_p95_ms	rps	verdict	valid	note
2775	277500	185500	1518	920	1855	2181	1302.69093325	10000.83415725	1339.2603609289006	FAIL	false	4000-user bootstrap immediately followed by load; excluded because Hikari had not recovered
2775	277500	277500	0	0	2775	0	31.755707149999996	381.9943495	1990.8285519875712	PASS	true	retry after active=0 and pending=0 recovery
3000	300000	300000	0	0	3000	0	83.71935619999995	496.526644	2152.705585931334	PASS	true	pool recovery confirmed before run
3250	325000	324800	34573	2	3248	3250	3449.10654115	712.6513875	1795.475181264549	FAIL	true	upper-bound probe; Hikari active=30 pending=3016 observed
3125	312500	286400	19333	261	2864	3124	3220.9137463	4264.306995999999	1760.5528146873985	FAIL	true	binary probe; Hikari active=30 pending=2783 observed
3050	305000	305000	0	0	3050	0	144.60005674999996	213.237214	2189.2959486363184	PASS	true	binary probe
3075	307500	307500	0	0	3075	0	86.91003389999992	103.04756900000001	2215.951625402739	PASS	true	binary probe
3100	310000	310000	0	0	3100	0	142.6055482999999	374.304131	2229.0566912333543	PASS	true	binary probe; final maximum pass at 25-user resolution
