target	version	target_rps	actual_rps	p95_ms	fail_rate	checks_rate	dropped	verdict
image_list	current-147	450	344.1649952910667	3150.30830425	0.11178805501707745	0.8882119449829226	5335	FAIL
image_list	current-147	370	367.0986477975178	216.02889775	0	1	0	PASS
image_list	current-147	410	354.57151014847943	3002.83993265	0.031555356342447334	0.9684446436575527	2291	FAIL
image_list	current-147	390	357.3830486652039	2981.8854618	0.021060114631003688	0.9789398853689963	894	FAIL
image_list	current-147	380	341.7362079106354	3050.7717946000002	0.05386939344643272	0.9461306065535673	1285	FAIL
kakao_login	current-147	370	369.90873066247525	11.145737	0	1	0	PASS
kakao_login	current-147	540	539.9266609588005	4.96608	0	1	0	PASS
kakao_login	current-147	620	619.9030683696501	5.64393	0	1	0	PASS
kakao_login	current-147	660	659.8625603847267	5.820832699999995	0	1	0	PASS
kakao_login	current-147	680	679.8965919312917	6.109600299999998	0	1	0	PASS
kakao_login	current-147	690	689.8232479620899	6.128919	0	1	0	PASS
kakao_login	current-147	700	699.8830607298163	6.277525	0	1	0	PASS
kakao_login	current-147	1600	1598.7467736556491	120.876991	0	1	0	PASS
kakao_login	current-147	2050	1172.6866135290331	3542.0138086	0.08128906792610084	0.9187109320738992	51030	FAIL
kakao_login	current-147	1825	1337.9556164702008	3067.5794345999993	0.04351743619715566	0.9564825638028444	27395	FAIL
kakao_login	current-147	1700	1643.1972078649706	941.0937837999999	0.0001408266524498808	0.9998591733475501	2588	FAIL
kakao_login	current-147	1650	1649.5239971348951	81.967147	0	1	0	PASS
kakao_login	current-147	1675	1673.6772203755504	130.62106864999998	0	1	0	PASS
kakao_login	132	925	479.9701175588268	10000.35065675	0.9475902027916776	0.054005662425442864	25125	FAIL
kakao_login	132	475	474.78204421427176	190.019652	0	1	0	PASS
kakao_login	132	700	699.7051503885599	20.844203249999982	0	1	0	PASS
kakao_login	132	800	799.7901632792427	15.780878	0	1	0	PASS
kakao_login	132	850	849.6310755714067	21.902315	0	1	0	PASS
kakao_login	132	875	874.7737167212629	24.084707	0	1	0	PASS
kakao_login	132	900	899.6718898516948	22.800073	0	1	0	PASS
